623,489,241,259,99,312,3120,4009,3756,2810,1840,553,382,206,129,2158,4453,3598,3163,2155,3545,3575,3671,3981,4522,6717,6550,6129,5217,4730,4380,4157,4208,4133,2190,1884,1531,2082,2817,3542,3004,2228,2019,1916,1839,2321,2917,3205,3242,2765,2742,2726,1799,2001,2095,1941,1918,2394,2280,1666,1327,1463,1574,1649,1750,1921,1808,874,1247,1626,2046,3581,2604,2679,2539,2433,2086,2203,1831,1622,1604,1431,1195,300,179,253,601,631,439,1106,1987,2094,1126,1020,876,783,669,770,565,714,880,1120,1558,2102,2171,1772,1717,2014,2315,2681,2378,2575,2861,3238,3335,3411,2184,1561,1303,1146,893,327,999,1561,2181,2890,3664,4336,4955,4886,123,97,126,147,136,148,687,3118,2179,1548,2769,3180,3368,4307,5572,6315,1097,1469,1212,1363,1078,1157,979,1030,1173,985,32,424,523,265,163,143,159,220,255,310,303,379,581,123,162,125,108,167,230,292,404,707,649,785
50,478,824,682,1777,2781,3675,3485,2841,2039,1300,499,339,652,255,4089,4225,3149,2589,2526,3187,3083,3166,3612,4321,5989,5919,5629,5134,4523,4084,3682,2640,4212,3819,1950,1747,1508,932,1397,1371,1214,1202,1473,1127,2464,2641,2627,2642,2143,2333,2261,1942,1511,1719,1758,1483,2065,2121,1649,1315,1374,1225,1356,1589,1801,672,1102,1760,2283,3023,3854,2822,2210,2134,1894,1663,1810,1646,1414,1385,986,520,198,146,251,748,1106,987,1299,2391,1491,1013,1080,951,755,744,796,326,386,556,970,1615,2036,947,1239,1430,1835,2250,2355,2355,2610,2677,2944,2917,3076,1550,1193,935,922,904,597,1103,1646,2456,2805,3209,4001,4776,5055,85,44,105,235,279,1445,3600,2558,1693,2633,2279,3018,3637,4423,5297,5769,5772,2414,428,1194,655,931,981,1004,844,816,762,459,325,224,181,228,293,223,315,338,278,369,172,158,159,162,195,241,96,25,177,658,526,697
1231,711,440,888,1936,2845,2595,2478,1965,1525,773,214,351,1352,2803,4559,2484,2260,2543,2800,2841,2473,2657,2840,4640,5398,4802,5080,4540,4014,3675,2482,2291,2617,4312,2215,1860,1512,1157,1042,831,1494,1752,1099,693,1663,1545,1635,2565,2025,1794,1845,1784,1705,1640,1796,1437,1953,1938,1576,993,1079,810,1109,1680,1586,1177,1813,1896,2071,2604,2804,2407,1879,1821,1694,1556,1570,1408,1159,976,503,35,148,139,166,467,968,1003,1682,2264,1852,1072,1069,878,559,238,737,494,503,412,623,1497,1731,942,736,1116,1573,2065,1977,2093,2450,2592,2643,1888,2372,1435,1448,705,612,724,841,1390,1753,2193,2748,3325,3931,4380,5094,2317,27,2310,536,1377,1972,822,1261,2899,2255,2158,2686,3335,3921,4662,5478,5221,4530,1128,1615,757,819,823,645,451,460,229,184,235,242,281,301,312,195,277,393,498,428,82,66,112,151,192,164,136,48,86,183,240,671
1252,576,402,958,1679,1854,1910,1574,1526,1198,601,705,1111,1208,3687,4760,4298,2450,2494,2273,2495,2055,2208,2364,5140,4913,4371,4508,4378,3856,3388,2575,2270,2837,3308,4417,4352,4008,3506,4034,3891,3163,2999,1002,1083,1071,1161,1740,2110,1533,1536,1443,1527,1491,1514,1617,1466,1769,1802,1383,907,849,518,1337,1484,631,1515,1564,1409,1683,1916,2605,2313,1671,1649,1527,1197,1292,1342,1062,737,253,95,197,221,306,303,389,667,816,1960,1179,999,795,476,338,457,931,567,325,317,882,1081,1233,1057,918,1231,1528,1712,1652,2009,2340,2074,1971,1573,1680,1484,725,286,463,1025,1719,2154,2330,2220,2628,3090,3544,4276,4202,4517,4411,3159,2003,3812,4205,2484,2702,2636,2519,1823,2259,2912,3768,4263,4506,4629,2724,1793,8,201,190,356,579,316,181,621,337,265,330,174,358,362,220,224,411,297,132,92,95,133,211,262,267,76,77,48,60,148,651
1214,962,594,737,1131,1381,1200,1154,1113,1106,656,684,361,2018,3443,4360,4341,4243,2439,1899,2048,1551,1527,2458,4756,4246,3813,3761,3896,3562,2761,2354,2482,2527,2605,3888,3619,3546,2912,3579,3812,3457,3001,2792,2417,1852,1255,1436,1737,1406,1476,1464,1495,1335,1330,1110,1440,1231,1518,1624,885,689,567,1393,1319,782,1195,815,1171,1621,1726,2458,2349,1705,1251,1327,1538,1277,1044,737,243,118,376,556,447,405,449,345,563,891,2102,1147,856,500,192,248,566,974,571,382,288,299,344,495,734,805,793,1224,1580,1948,2229,1175,1009,641,597,799,748,139,936,1619,1647,1943,2162,2315,2461,2566,2862,3424,3562,3713,4265,4644,6211,3886,3819,3797,3545,3153,2476,2021,839,1872,2650,3143,3381,3708,4204,5337,1407,366,348,687,1106,925,224,633,429,605,412,343,191,233,363,223,244,413,147,140,127,122,195,280,318,327,81,114,152,58,88,524
898,864,676,558,712,900,865,993,838,931,725,484,1190,2202,3885,3517,3923,3659,1641,1432,1577,1499,2103,2422,3757,4278,3766,3338,3393,3228,2743,2145,1894,2323,2988,3210,3172,2976,2511,3032,3182,2806,2558,2447,1957,1908,1667,1355,1356,1410,1314,1362,1302,1135,1020,1087,1325,1113,1427,1409,695,373,399,945,845,629,618,1031,1641,1257,1739,1855,1988,1986,1350,1137,1320,1142,621,114,102,240,584,734,1201,330,726,771,1764,1509,920,979,615,498,528,485,982,1019,472,385,317,435,583,476,348,841,1195,1487,1629,1720,1657,385,352,222,277,356,670,1145,1594,1691,1885,1641,1934,2247,2445,2780,3059,3462,3437,4066,4264,5635,7650,2617,3332,3274,3109,2843,2388,1933,1802,1648,2112,2701,2935,3574,4204,5011,2646,1985,2572,1850,1376,752,1065,497,258,241,232,196,110,155,310,319,340,431,144,134,118,147,214,332,626,123,183,174,49,37,53,98
1476,1305,770,506,500,685,721,736,704,692,605,563,1287,1928,2005,3468,2843,3428,3008,1895,1338,1187,1375,1913,3213,3863,3392,3032,2973,2634,2494,2300,1541,2642,2444,2708,2902,2680,2432,2707,2068,2376,2225,2174,2046,1696,1371,1004,1212,1177,920,911,862,887,837,827,804,864,931,236,303,1154,458,489,641,612,784,1365,1320,587,973,1097,1470,1925,1048,914,718,441,50,140,254,631,822,870,1179,792,1156,1704,2140,1136,849,766,740,680,250,279,608,1098,934,452,519,381,801,609,265,208,463,908,904,1065,927,226,445,637,951,916,1376,1539,1723,1821,1927,2010,2144,2361,2674,2982,2943,3207,3466,3630,4804,5148,9364,3302,2969,2936,2752,2432,2183,2155,1759,1350,1654,2245,2880,3204,4285,5390,5395,1231,37,1047,891,1185,975,435,253,254,201,238,209,233,243,391,391,513,153,141,146,206,996,1062,827,699,85,99,78,72,74,36
1733,1328,911,658,655,607,667,581,531,567,632,723,1118,1071,1653,2679,2225,2911,2571,2072,941,814,1077,1336,1791,3212,3279,2509,2646,2430,2103,2113,1660,2162,2420,1789,2800,2224,2172,2061,1833,1422,1270,1641,1686,1282,1165,803,574,636,998,799,760,683,729,706,616,409,406,438,747,1263,783,520,442,295,696,871,610,301,259,383,910,1006,990,436,103,104,204,363,1029,820,1188,1147,976,1590,2066,1477,1007,929,732,300,773,664,274,282,335,797,1063,944,801,902,901,1151,633,556,210,177,158,543,457,619,1110,1230,1280,1301,1292,1556,1718,1947,2176,2253,2346,2494,2646,2719,2867,3098,3576,4350,4827,6100,6442,2596,2810,2609,2386,2319,2223,2020,1706,1154,1584,2351,2808,3668,4396,5135,5182,1328,1890,530,1243,945,584,221,124,213,177,317,250,301,282,400,467,323,197,296,1040,927,573,431,502,675,701,617,547,193,356,356
2066,2086,790,1325,1335,699,561,551,427,458,511,603,706,677,1054,2000,1792,1801,2197,1722,891,645,731,1035,1236,1372,3339,2341,2277,2006,2048,1833,1799,1898,2126,1676,2473,2134,1707,1599,1073,531,925,480,733,651,551,634,651,1471,980,876,866,920,868,617,592,590,514,615,690,1522,1177,820,650,971,459,275,380,232,439,323,242,285,405,27,244,548,246,430,947,1282,1432,1895,1261,1763,2457,1048,841,642,580,531,607,279,188,174,169,275,596,1187,1349,1392,1130,623,717,842,526,326,238,329,513,560,879,1415,1605,1346,1266,1618,1813,1801,1898,2191,2464,2630,2585,2649,2876,3083,2804,4696,4918,5519,3477,2805,2819,2220,2625,2617,1576,1755,772,1205,1403,2300,2856,3790,4663,4126,4527,4668,2015,1926,1465,619,604,259,195,86,138,366,274,196,318,362,1258,1070,1083,848,660,514,267,249,277,380,559,444,632,738,306,194
2321,1515,1873,1892,1646,1413,1088,812,452,690,297,265,489,453,1023,1447,1412,1113,910,2071,1047,427,461,600,1008,937,2460,2201,1907,1767,1654,1630,1700,1627,1732,1382,2205,1801,1445,1138,566,1031,659,462,489,471,464,683,783,1489,1524,1114,1014,1020,786,624,510,696,637,671,794,1723,1223,950,980,897,793,668,846,1022,991,763,532,378,345,362,633,744,120,539,1161,1588,1725,1659,1748,2615,1242,771,726,584,569,608,336,309,265,264,216,197,421,1000,1540,2047,753,506,455,770,772,589,520,620,583,620,715,1002,1401,1666,1464,1454,1608,1663,2044,2240,2308,2463,2622,2769,3180,3907,2667,4182,4380,9582,1628,1817,1662,1717,2091,2258,1845,1649,1921,867,1508,2122,2933,4106,4020,3508,4700,5400,2276,1504,1454,981,389,288,244,167,207,343,341,247,337,1466,994,844,650,574,333,214,204,229,224,272,351,432,479,321,123,77
